"ENTREZID","log2FC"
53,0.628030405524493
5164,0.627698131776932
63908,0.626418563877684
2026,0.625256181814455
540,0.624850626874421
10297,0.623448225828391
4067,0.621494096915611
25895,0.621363519746787
56851,0.616826487056019
8934,0.61407776649074
91179,0.613679538234944
492311,0.613340416700033
54682,0.61201978120732
100616453,0.608564799083004
6786,0.608564799083004
445815,0.606140693001949
648791,0.606016506723327
716,0.602759827746186
64718,0.601359245710872
113612,0.601058554480042
7325,0.59918157839527
404636,0.598934123707111
1519,0.598617568739165
51449,0.597555728990684
2191,0.597212772758555
19,0.59689254767517
10512,0.596206225373146
10904,0.595361185814369
8555,0.594175072362506
5621,0.590863464118562
5125,0.590552202042164
10424,0.583413182522329
64374,0.58242706168356
54622,0.5795180986027
3006,0.578998553725152
124936,0.577528132555784
27013,0.576572704261596
9528,0.575650760176317
1760,0.575170256238847
51257,0.574294770144885
10423,0.573802304824073
2907,0.573459131261608
11245,0.571595030857402
55290,0.570448587813254
1317,0.566590321791781
80146,0.565093640059049
79974,0.564019247548723
1535,0.563689237403273
79837,0.563609037505803
7328,0.561466939510887
83941,0.56058016932028
284408,0.560208137348243
7058,0.559277493469001
57169,0.556898024289632
203259,0.555801980155076
4043,0.554789457688281
2677,0.554374747545193
23385,0.553844706930524
7091,0.552788194949097
346157,0.552242601570872
81502,0.551201281331226
595,0.550576342662316
8996,0.548012536933963
57658,0.547836198503639
1497,0.547337347930901
153222,0.546791395481303
2548,0.54674957245938
10087,0.545709901301039
474343,0.545050496417054
140606,0.54435285610888
23382,0.543931776065588
10350,0.543927319510959
59342,0.54370650453404
23194,0.54320565400266
5476,0.542968212879641
5351,0.542867094901824
92255,0.540553169805591
5830,0.537817401592889
2720,0.537170261652982
9777,0.537049189264623
23324,0.536991943294523
3487,0.536470236892389
30008,0.53591376766761
51161,0.533833313636461
54472,0.533114688228419
3708,0.532995916886757
6567,0.531833893283949
57184,0.529801856451493
975,0.529488443149109
83986,0.529237323247353
5526,0.528679251484434
81618,0.527972634619603
150864,0.52745846352567
9562,0.526545094306874
100423004,0.525266028591261
100422961,0.525266028591261
9842,0.525266028591261
5507,0.524767715370662
9581,0.524029940255687
254359,0.523024336083624
7127,0.522959534144639
29952,0.522874427043851
10272,0.522445537396062
92305,0.521378183829196
51313,0.520559866256035
158960,0.519945533483192
151556,0.518229331052455
25861,0.516836960443854
5165,0.515007584896104
55129,0.514975560093894
25999,0.514326182540046
113235,0.514225719219646
100616113,0.513809212836705
27250,0.513809212836705
2619,0.512459228589116
56834,0.512456341200165
91947,0.511459973126066
257364,0.510768401881851
10912,0.510472595936824
5092,0.509009700254214
727957,0.508643210985316
3105,0.508051024121237
79885,0.507721420310811
197342,0.506705358814036
23646,0.506391718990697
50865,0.506121218774903
6773,0.504701121110235
84961,0.50392006892119
285368,0.503185500924872
57142,0.502929115495319
23102,0.501703861255528
123,0.501007435829687
6697,0.499936607417367
81533,0.499799140287038
30001,0.49858962528963
2946,0.497782820202217
5641,0.4977124707967
51754,0.496575020743835
56654,0.495297158750377
154881,0.494500665772894
102465667,0.494436990097859
10954,0.494436990097859
493900,0.493910560406882
83692,0.492998573842112
4299,0.492983524854701
10099,0.492705787201254
55323,0.492599021801779
57185,0.492298836757701
9577,0.492083057799664
51141,0.491525175644595
84680,0.490783340777516
79365,0.490297971082952
1486,0.489912764460197
3073,0.489760717730195
388650,0.489726405605105
10079,0.489090418282907
215,0.488351817659514
101926978,0.48707287240532
84557,0.486312168571395
9149,0.485484294665394
162993,0.484602459879542
4758,0.484466759450294
56548,0.48341805395781
84173,0.482735138179036
57205,0.482360157449186
79600,0.482175969618108
11253,0.481932682000577
967,0.48173902415358
51114,0.481709766541419
113201,0.481335450020779
1326,0.48130250452551
2318,0.479325221253396
23339,0.479305706802909
23096,0.479083679530812
3299,0.478541640077635
57222,0.478466159207008
55741,0.477657015775576
55106,0.476870947576192
155382,0.476173506830595
127829,0.473604890709252
10857,0.473213128145093
4324,0.473021606968416
23313,0.47289942631089
10892,0.472735836438853
26100,0.472304026537126
440034,0.471589696372286
5954,0.471589696372286
8837,0.470099546003583
6320,0.469366577765706
768213,0.469008875995387
54480,0.469008875995387
101927181,0.46738351583704
55501,0.46738351583704
23492,0.466716175093727
64859,0.466528816012322
11342,0.466485574072693
374819,0.466103421129459
128637,0.465928423467114
4669,0.465924585458883
100616358,0.465912206508692
10608,0.465912206508692
9885,0.465203036986341
267,0.464950790407218
4550,0.464466795376802
81558,0.464209039328291
63941,0.464028768547389
5287,0.463051801387239
56674,0.462981846183259
55238,0.46277524365565
3300,0.462163528150003
57555,0.462067933140856
604,0.461207787277453
112,0.460997712742948
9451,0.460534553586355
23275,0.4604644110947
56061,0.460378491030484
57574,0.459968229017621
55733,0.459903066445477
7782,0.459826032047011
29965,0.458677245020663
118812,0.458255293349487
